Composite_Element_REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg11057497	0.0288445977517786	HMGCS1	5	43313384
cg11058696	0.0125950936165371	SNRPB2	20	16711094
cg11058932	0.851267072230901	TSGA13	7	130372167
cg11059341	NA	MYL1	2	211179560
cg11059483	0.0194619544495977	ESR2	14	64760864
cg11061603	0.0173630160729545	RPS10	6	34393330
cg11061975	NA	SIRPG	20	1639325
cg11062095	0.0385688282998225	C5orf15	5	133304652
cg11063110	0.444468434126005	CPA5	7	129985205
cg11063988	0.00559668777275956	SIX5	19	46272660
cg11064206	0.0266375854000098	OGFOD2;ABCB9	12	123459532
cg11064558	0.0115829840537303	ZNF295	21	43430383
cg11064797	0.0108086800250525	RELL2;HDAC3	5	141016628
cg11065385	0.0125151513731214	B4GALNT3	12	568798
cg11065518	0.0197039080828487	MDH1B;FASTKD2	2	207630263
cg11065693	NA	IRF9	14	24630380
cg11068096	0.836171112032053	NA	NA	0
cg11070419	0.756028278371011	C4BPA	1	207277210
cg11070941	0.0168838096639637	STX11	6	144471985
cg11072113	0.858430103927074	VWCE	11	61063124
cg11074362	0.756247880370121	DENND4C	9	19297575
cg11074746	0.00752798564037096	MEMO1	2	32236343
cg11075556	0.854585448919604	ANKRD7	7	117865112
cg11075745	0.510703606284084	CLDN19	1	43205976
cg11077161	0.778230556694376	SIPA1L1	14	71996050
cg11078738	0.01642996063069	ANTXR1	2	69240453
cg11079619	0.71761713458158	INHBA;LOC285954	7	41742630
cg11080718	0.0364784243881302	NA	NA	0
cg11081833	0.468787645839995	LGALS2	22	37975941
cg11082575	0.0144132234470099	FAM60A	12	31479096
cg11084020	0.0123915255703386	TAX1BP1	7	27779567
cg11084035	0.0159824473504509	GANAB	11	62414045
cg11084611	0.795990138826471	C2orf27A	2	132480958
cg11086066	0.20779952058111	NFATC2	20	50159508
cg11086568	0.00512799217994523	WDR53;FBXO45	3	196296032
cg11091262	0.733696769353601	GALNTL5	7	151653454
cg11093356	0.0202471084203004	DDX19A	16	70380593
cg11094938	0.958935064955056	ATP2A1	16	28888844
cg11095315	0.941355154270164	PABPN1	14	23789003
cg11096640	0.00632672625948241	ACTR3B	7	152457432
cg11096837	0.0106468057258471	NA	NA	0
cg11096993	0.15457827668765	ACY3	11	67417958
cg11098259	0.136977120178633	AQP9	15	58430391
cg11099291	0.0172474480049199	C17orf91;WDR81	17	1620044
cg11099899	0.688464176820658	CLDN14	21	37852334
cg11100802	0.0211762713534389	TRIM52	5	180688063
cg11102782	0.0108285540001968	ISYNA1	19	18549136
cg11102794	0.0500784864256863	LMO1	11	8285587
cg11104347	0.0156194063242756	DUSP23	1	159750836
cg11105610	0.137812116557794	LGALS3BP	17	76976352
cg11107205	0.0210866511632654	RCL1	9	4793458
cg11108432	0.0426668286215624	PINX1	8	10697698
cg11108890	0.745769219375203	VAMP5	2	85811471
cg11109684	0.00876257363326049	RAB10	2	26257047
cg11110686	0.971376339725245	MAGEC1	X	140991714
cg11113534	0.963581267939746	C20orf70	20	31756024
cg11114344	NA	NCRNA00188;SNORD49B;SNORD49A	17	16341984
cg11115427	NA	PHYH	10	13342610
cg11115702	0.021999940672784	SPNS1	16	28986698
cg11116142	0.0188817064471477	CRBN	3	3221344
cg11116440	NA	URM1	9	131133274
cg11117707	0.0100071612735264	SLC16A6;ARSG	17	66288529
cg11118665	0.034614808277859	TCFL5	20	61493341
cg11119131	0.0546605695250221	CCDC99	5	169010837
cg11119596	0.231003179858468	CD96	3	111261010
cg11119884	0.627560456398756	NA	NA	0
cg11120551	NA	CHD1L	1	146713996
cg11122968	NA	CD33	19	51727295
cg11126134	0.0953573793539621	C13orf33	13	31480304
cg11126313	0.840529502992272	CCR3	3	46284262
cg11128808	0.876821831551295	CACNG6	19	54495970
cg11129291	0.0216171613381406	DARS	2	136742688
cg11130441	0.734474002542866	C2orf58	2	38358147
cg11132751	0.979452483294555	CXorf67	X	51149970
cg11134443	0.881917891301963	NA	NA	0
cg11136251	0.0141152030146962	ZWILCH;RPL4	15	66797427
cg11136562	0.422154699699101	ARAP3	5	141061285
cg11139878	0.302547671264525	CD5L	1	157811790
cg11140307	0.0238799001987727	CMTM4	16	66730384
cg11140785	0.0244268808169291	ZNF264	19	57703301
cg11141013	0.00954840016958723	ZNF688	16	30583056
cg11141561	0.0107193325438689	CAMLG	5	134074404
cg11142466	0.0131242869139506	KRCC1	2	88355481
cg11147193	0.380405438297744	HPCAL1	2	10442040
cg11147886	0.628645748708869	NFAT5	16	69598170
cg11148307	0.962041875312446		10	134671663
cg11149033	NA	TFAM	10	60145204
cg11151665	NA	PSG6	19	43421584
cg11151811	0.0071312484299668	PRKAG1	12	49412422
cg11151820	0.022276225957148	CCT5;FAM173B	5	10250162
cg11152574	NA	ACSL5	10	114134550
cg11154542	0.0739629577638125	CTSL1	9	90340652
cg11154798	0.0236896908254433	RAI14	5	34656563
cg11154879	0.408928828181261	C20orf151	20	61001775
cg11155265	NA	ASAP3	1	23811445
cg11157872	0.0206600638782886	RSRC2;KNTC1	12	123011310
cg11158374	0.811360750245045	TFF2	21	43771664
cg11158430	0.936102004904847	UTS2D	3	191001413
cg11158440	0.0385250485081783	IER2;STX10	19	13261480
cg11158729	0.00806517635267855	CNNM4	2	97427027
cg11158760	0.0393726036429354	FHIT	3	61237270
cg11159299	NA	GZMM	19	543432
cg11159727	0.0965329020593791	NA	NA	0
cg11160386	0.0231712932474724	MDM1	12	68725932
cg11160820	0.0192470683406507	CD58	1	117113618
cg11161417	0.353591398187201	SPACA3	17	31319454
cg11161873	0.672989386479645	NA	NA	0
cg11164347	0.0964419721084733	NA	NA	0
cg11164400	0.233564436217836	PPP1R9A	7	94536787
cg11166252	0.00791770229067964	AHR	7	17338258
cg11166823	0.0103452864127492	AGPAT3	21	45284425
cg11166999	0.569403312372192	PAR-SN;SNORD107	15	25226929
cg11170179	0.026089229128603	KLK10	19	51522767
cg11170796	0.854965068380129	TCF3	19	1650224
cg11171719	0.00832795782213592	CTDSPL	3	37903684
cg11172196	0.0100393708404695	TMEM65	8	125384789
cg11172299	0.0108897580068175	C14orf142;UBR7	14	93673792
cg11172423	0.852847727212928	CLDN19	1	43205623
cg11173246	0.20631807666546	TSPAN4;POLR2L	11	841376
cg11174654	0.135207445353184	NA	NA	0
cg11175310	0.00943422222324517	RSU1	10	16859107
cg11175476	0.154492694385959	LRP6	12	12419201
cg11175477	0.00739253992361758	VPS29;RAD9B	12	110939919
cg11176095	NA	GPR126	6	142622515
cg11177404	0.397727629069628	CGB2;SNAR-G2	19	49535079
cg11177450	0.0101630006804443	SENP5	3	196594476
cg11177693	0.129921558180535	ZNF513;PPM1G	2	27604063
cg11177955	0.0105542543536339	C1orf58;AIDA	1	222886490
cg11178136	0.426299909451409	KIAA0652;HARBI1	11	46637717
cg11178443	0.00761596494217597	RANGRF;SLC25A35	17	8192024
cg11179184	NA	C8orf76	8	124254358
cg11181795	NA	NEURL4;GPS2	17	7219971
cg11184091	0.0165648661004492	DOLPP1	9	131843633
cg11185452	0.0261502487483099	SLC39A9;ERH	14	69865072
cg11185569	0.0139051166645035	CHN2	7	29234470
cg11187508	0.013247771505179	CWF19L1	10	102027336
cg11189434	0.0467689204131433	RPL5	1	93297822
cg11189837	0.0315700997111922	ADAMTS1	21	28218596
cg11191210	0.015741457660559	VGLL2	6	117585815
cg11191337	0.388399463776729	PLTP	20	44541804
cg11192270	NA	ATP13A2	1	17338644
cg11193041	0.0179911933441337	GSTZ1;POMT2	14	77787952
cg11194725	0.0244328239795067	CBX1	17	46178360
cg11195002	0.031269822838218	ICAM5	19	10399805
cg11195662	0.0256122509810541	PRUNE2	9	79520720
cg11196870	0.0422966804683526	GINS4	8	41386826
cg11197066	0.0149752268235541	PGAP1	2	197791305
cg11199399	0.0559254802433006	LTBP1	2	33172442
cg11200929	0.0107031244110227	CRABP1	15	78632670
cg11201229	0.923142594837078	PIK3C2A	11	17191235
cg11201288	0.806558798788399	LRRC40;SFRS11	1	70669885
cg11201532	0.369030347627142	MFNG	22	37882078
cg11203041	0.207437485740581	MGST1	12	16500185
cg11204562	0.358306449714143	C10orf81	10	115511153
cg11206634	0.612363860554256	SFT2D3	2	128458399
cg11206667	0.0166021171333481	FBXO36;TRIP12	2	230786584
cg11206763	0.0114411205228455	ESYT1	12	56521692
cg11207379	0.015744611008452	TDG	12	104359415
cg11207564	0.31295176003252	NA	NA	0
cg11208235	0.0310111139689789	BCAR3	1	94147468
cg11208483	0.325020028861102	NA	NA	0
cg11208880	0.00768628540595925	LRRC8D	1	90287278
cg11212312	0.835773266143003	IL3	5	131395683
cg11212609	0.0103567292046456	C17orf81;DULLARD	17	7155399
cg11213150	0.180232895280035	ANGPTL2;RALGPS1	9	129884457
cg11214889	0.0211014521056407	CLUL1	18	597111
cg11216616	0.0798774822565009	RAB35	12	120555510
cg11219178	NA	OSBPL5	11	3120949
cg11220060	0.654765551961147	KLF1	19	12997418
cg11220635	0.0139267149480699	RDH11	14	68162577
cg11221132	0.869650589429811	CYP2D7P1	22	42540342
cg11221265	0.0156281323246089	SDHC;LOC642502	1	161284279
cg11221508	0.0222836508980833	ZNF830;CCT6B	17	33288337
cg11221513	NA	C22orf9	22	45636109
cg11222041	0.0370023626614799	TOR1A	9	132586346
cg11223252	0.0392206685960902	RNF103	2	86851318
cg11223864	0.0145347667923047	GNB2	7	100271323
cg11225410	0.0229137251813814	SOCS2	12	93966317
cg11225935	0.00725445216216224	KDM5A;CCDC77	12	498478
cg11226328	0.0332547456940834	EPB41	1	29213367
cg11227541	0.0435138122989482	GNG5;SPATA1	1	84972317
cg11228872	0.0131545992764632	CALR	19	13049259
cg11231018	0.899596626316014	LIPF	10	90423408
cg11233153	0.565942272494069	SLC10A3	X	153718691
cg11233228	0.0238104038537018	PRPF4;CDC26	9	116037401
cg11233384	0.0583334068948251	AKR7A3	1	19615702
cg11234457	0.966478433519915	FTMT	5	121187547
cg11235426	0.471019872091519	DUSP22	6	292522
cg11235871	0.00830959599723641	QARS	3	49142143
cg11236244	0.709489869978854	CSAG1;MAGEA12	X	151904510
cg11237115	0.0110836763758058	KLHL24	3	183353422
cg11237738	0.551685522481293	C4orf6	4	5527295
cg11237817	0.331816657687094	NA	NA	0
cg11237883	0.0137814650228815	STYXL1;MDH2	7	75677249
cg11238505	0.0106436295811402	CYHR1;KIFC2	8	145691776
cg11241627	0.0802168050485377	FERD3L	7	19185165
cg11243196	0.0144061897654512	ADAMTS3	4	73434856
cg11245384	0.198978988732302	PDYN	20	1974646
cg11246695	0.00876918837115915	PIAS3	1	145576023
cg11248413	0.00804071570897264	NEUROG1	5	134871658
cg11248491	0.0259467697013394	CYTH3	7	6312525
cg11249120	NA	SAMD3	6	130543838
cg11249173	NA	LOC221710;HERV-FRD	6	11112209
cg11250058	0.0666872600150949	NA	NA	0
cg11250247	0.0510449790597348	TBP	6	170864036
cg11251086	0.0310001650383743	DUSP11	2	74007147
cg11251498	0.52830011371535	IDO2	8	39792769
cg11251858	0.0262512527864023	ESR1	6	152129036
cg11251877	0.789538293895407		6	168398981
cg11254522	0.929689445054654	FGR	1	27950343
cg11255163	0.0113839056493071	CDH1	16	68771200
cg11255230	0.0125722714000396	BCL2	18	60987808
cg11256279	NA	C7orf23	7	86849303
cg11256445	0.964841313684641	HCLS1	3	121380233
cg11258532	NA	CA7	16	66877873
cg11260422	0.0137815082699673	FOXA1	14	38064112
cg11260848	0.700616814715308	ALX4	11	44326260
cg11261264	0.736618703227604	PTPRH	19	55720737
cg11262815	0.0151502207074791	CACNA1G	17	48638703
cg11262874	0.28432084727119	ZNF681	19	23941711
cg11263296	0.0601988542083733	CCDC64	12	120428313
cg11263497	0.0393073456248234	WDR35	2	20190220
cg11263584	0.00887869111080135	ICT1	17	73008587
cg11264817	0.0150452956731984	INCA1;KIF1C	17	4901584
cg11265916	0.0144876361967837	MAPK1	22	22221056
cg11265941	0.460444430498074	SNRPN	15	25068738
cg11266874	0.0185999489447852	ARL13B	3	93699352
cg11267879	NA	CYP2F1	19	41619952
cg11269533	0.0286554316432157	FEV	2	219850301
cg11270633	NA	IL28B	19	39736956
cg11271605	0.0182145411643265	STEAP4	7	87936282
cg11272332	0.192936075519913	ZDHHC15	X	74742810
cg11274211	0.018703062603808	PIP5K1B;FAM122A	9	71395330
cg11275139	0.0199580778670946	NA	NA	0
cg11276198	0.0136588555096685	KRAS	12	25404189
cg11276280	0.016058343205483	TBCC	6	42713551
cg11277126	0.0223747360379284	TRPC4AP	20	33680945
cg11277230	0.0413203908686358	C4orf36	4	87813935
cg11278262	0.0976058184318132	KRTCAP2;TRIM46	1	155146720
cg11279021	0.0862167913899495	ETV1	7	14028690
cg11283860	NA		1	8273352
cg11285003	0.479915516806053	HCN1	5	45696592
cg11285843	0.0783346149582518	TMEM41A	3	185217130
cg11286122	0.834887699223162	PHLDB1	11	118477406
cg11286163	0.00937054822073733	PSMA5	1	109969161
cg11286618	0.0157613551673049	WBP1	2	74685465
cg11289251	0.0065500865999011	DDX28;DUS2L	16	68056774
cg11290225	0.0409140941371385	KIFC2	8	145692591
cg11291009	0.479021927821498	ARHGEF9	X	62975067
cg11291200	0.934210342879695	MAGEB2	X	30233490
cg11295113	0.307659992201332	FOLR2	11	71927938
cg11295902	0.0206970529763866	SF1	11	64546368
cg11296363	0.0324847973828521	FTSJ3;PSMC5	17	61905004
cg11296937	0.22325794990732	PRDX5;TRMT112	11	64084966
cg11297236	0.352467724765569	PDILT	16	20416475
cg11298412	0.0155875375909546	PARM1	4	75858589
cg11298616	0.0333193166902078	CKAP2	13	53029954
cg11299964	0.0376481525139949	MAPKAP1	9	128469783
cg11300809	0.25294783023639	SGPP2	2	223288637
cg11301598	NA	OASL	12	121476792
cg11303670	0.0179817577777616	TSPAN33	7	128784442
cg11303749	0.0122573276669473	HIST1H4B	6	26027410
cg11304234	0.0987439332919744	IL18	11	112034801
cg11304524	0.962561177575319	TSSK4	14	24674887
cg11304734	NA	POLR1E	9	37485592
cg11308639	0.74842689462039	BMP10	2	69098272
cg11308840	0.0372003825339058	TMEM215	9	32783516
cg11310496	0.943262347275097	PNLIPRP2	10	118380175
cg11310692	0.0197799960612171	PEX7	6	137143636
cg11311499	0.0242864013657011	MSH2	2	47630845
cg11312566	0.010526733800331	SLC2A8	9	130159344
cg11313124	0.0141144407612884	ZMAT3	3	178789226
cg11313997	0.01261369359228	B4GALT7	5	177027589
cg11314271	0.712385636149007	NA	NA	0
cg11314292	0.0248369771394285	RNF125	18	29598433
cg11314684	0.0653596868283508	AKT3	1	244006288
cg11316784	0.0153045160478285	NSD1	5	176560594
cg11318251	0.490909795588166	BAALC;C8orf56	8	104152588
cg11319389	0.0805488732102751	TOX2	20	42544648
cg11320084	0.163357502572862	RNF2	1	185014181
cg11320143	0.0668515540510373	GDAP2;WDR3	1	118472483
cg11321895	0.0183238675912966	PLAG1;CHCHD7	8	57123832
cg11323198	0.0465254501411078	CDH8	16	62069806
cg11323230	0.0134109317550826	AMFR	16	56459217
cg11323731	0.0545838507693113	AKR1A1	1	46016768
cg11324740	0.0670047466238566	NUSAP1;OIP5	15	41624793
cg11325578	0.413649936941953	GPR143	X	9733287
cg11326613	0.0376597600746315	CCDC107	9	35657478
cg11326640	0.0373241658849613	NA	NA	0
cg11328149	0.861727798487307	LY6G6C	6	31689459
cg11328541	0.0887633072741212	OR7C1	19	14910889
cg11328875	0.0124008792146444	PPIL5	14	50066018
cg11329235	0.010133134331311	SRRM1	1	24969260
cg11330108	0.065621451220539	BCL2	18	60986115
cg11331769	NA	TAZ;DNASE1L1	X	153639287
cg11332950	0.0167812957674482	AHSA2	2	61404256
cg11332994	0.251142206313868	NA	NA	0
cg11334469	0.0342498941331048	NA	NA	0
cg11336428	0.0261243539204289	TEX2	17	62340505
cg11337525	0.011651848039077	APOC1	19	45418417
cg11337780	NA	ZNF439	19	11977718
cg11340260	0.850441070840945	GP1BA	17	4835476
cg11341028	0.144926457497694	KBTBD4;NDUFS3	11	47601881
cg11341528	0.0150618614976095	CASD1	7	94139401
cg11344614	NA	JAM2	21	27010160
cg11345438	NA	KIAA2013	1	11986397
cg11346450	0.907925591431283	NA	NA	0
cg11353032	0.0132230888587777	ZRSR2	X	15808390
cg11354906	0.0187579211858792	SFRP2	4	154710371
cg11356290	0.0627065049594306	AZI2	3	28390998
cg11356705	0.0168640456701636	NUP54	4	77069568
cg11360149	NA	OR2V2	5	180581315
cg11360718	0.516816357353155	TM9SF4	20	30720375
cg11360768	0.0109478872154962	WHSC1L1	8	38239777
cg11366015	0.00827529816680594	C20orf27	20	3748106
cg11368509	0.0264434824440868	SUV420H2	19	55851365
cg11368578	0.0232361654494299	CDK5	7	150754936
cg11368643	0.617649665047158	PCDHB15	5	140625059
cg11368791	0.011089003100762	WDR46;PFDN6	6	33257095
cg11368946	NA	GCAT	22	38204391
cg11371160	0.426090479641683	UBL4A	X	153714615
cg11371394	0.0328497832774906	TGFBRAP1	2	105946583
cg11371791	0.0162836665886227	NA	NA	0
cg11372696	0.0089208810420608	POLR2G	11	62528990
cg11372831	NA	PAICS;PPAT	4	57303157
cg11373429	0.0422029833616723	ICAM5	19	10400751
cg11373746	0.0486649253747216	ALDH9A1	1	165668181
cg11375079	0.0130677464461736	GLRX5;SNHG10;SCARNA13	14	96001246
cg11375102	0.7359477706691	IFT140;TMEM204	16	1583810
cg11375475	0.0127437991406708	BBC3	19	47734362
cg11375622	0.0271876946246186	HSF1;BOP1	8	145516294
cg11376198	0.774407660758412	AKR7L	1	19600730
cg11377136	0.0721395370724874	PKDREJ	22	46658960
cg11378044	0.898597253628818	NA	NA	0
cg11378052	0.868719945465327	HEATR4	14	74027058
cg11378484	0.0790226038148725	THOC7	3	63848695
cg11378686	0.0245921088673184	ZNF318	6	43336278
cg11378840	0.0323321370712452	HHEX	10	94449797
cg11380128	0.765615016903051	PRLH	2	238473800
cg11380624	0.0717134362761859	DNAJC14	12	56222881
cg11384427	NA	CD27;LOC678655	12	6553585
cg11385473	0.0390352069483762	IMMP1L;ELP4	11	31530943
cg11386709	NA	EPB41L2	6	131278559
cg11386746	NA	CDH15	16	89237370
cg11387131	0.0570816933965629	KCNJ5	11	128761211
cg11387519	0.0602665679703372	CCDC142;MRPL53	2	74699973
cg11388238	NA	KCTD18	2	201375098
cg11389172	0.0091960219320474	SLC18A3;CHAT	10	50818299
cg11390468	0.034506687586217	IFT57	3	107940784
cg11391732	0.878137232967759	HSPB3	5	53751919
cg11392765	0.0403671533844904	NKX3-2	4	13546673
cg11393453	0.0158355223056564	FAM59A	18	30050326
cg11393848	0.11064711436139	C1QC	1	22969340
cg11394644	0.0609742899192951	FAM104A;C17orf80	17	71229370
cg11394785	0.618121909237895	LTC4S	5	179221090
cg11395610	NA	RAB28	4	13485238
cg11395917	0.0169807698036056	PLEKHB2	2	131862942
cg11395975	NA	MLST8	16	2255950
cg11396509	0.0122293695386326	SIRT2;NFKBIB	19	39389915
cg11397854	0.0245422708909255	IQSEC1	3	13008878
cg11398517	0.146569582704988	GTSF1L	20	42355625
cg11398680	0.016011035758726	PTK2	8	142011853
cg11399100	0.0226056320837185	TMEM59L	19	18722368
cg11399527	0.0147859126515997	PDP2	16	66914446
cg11399590	NA	PCIF1	20	44564022
cg11399891	0.0186907194428855	ZNF444	19	56652352
cg11400333	0.0176838854342451	TMEM151A	11	66059695
cg11402505	0.119556869808172	FBXO27	19	39523436
cg11403598	NA	NIP7;COG8	16	69374664
cg11405695	0.899636422855182	ATAD3C	1	1384091
cg11406340	0.874204142701416	C10orf110;IDI2	10	1071573
cg11406695	0.0196334674889709	NA	NA	0
cg11407345	0.080714426581743	C21orf58;PCNT	21	47745057
cg11408517	0.0241142979075621	LATS1	6	150039536
cg11411707	0.0147035148175851	GABPB2	1	151043197
cg11412582	0.484040938059268	HERC2	15	28567519
cg11414046	0.0150274228529613	BRAF	7	140624194
cg11414151	0.0753562689024938	NA	NA	0
cg11415932	0.00790175984918362	POLB	8	42196139
cg11416386	0.0141068965688221	DPY19L3	19	32897202
cg11418559	0.288993624690229	GRRP1	1	26487928
cg11419863	0.0491276324051577	FAU;MRPL49	11	64890006
cg11422541	0.0261146845757827	ADCY6	12	49182586
cg11423990	NA	TXN2	22	36877559
cg11426590	0.0110298362070566	TRIM62	1	33647854
cg11428724	0.0274065143343114	PAX7	1	18957632
cg11429632	0.0481379276101325	RAB14	9	123964581
cg11429658	0.692343182920821	ABCC13	21	15646635
cg11431126	0.0437778513747087	RHOU	1	228870709
cg11432797	0.932991361354492	SPN	16	29674487
cg11434468	0.0209894472101921	XKR6	8	11059277
cg11435943	0.515899215688014	SERPINB12	18	61222687
cg11438428	0.0496911047363027	PTF1A	10	23481594
cg11438755	0.0311552460337104	TMEM20	10	95653570
cg11442050	0.0105732275098905	EIF4ENIF1	22	31886454
cg11442717	0.0109495548319807	PHF10	6	170125241
cg11443787	0.0575724883365438	MLLT10	10	21822403
cg11449935	0.0156269754296786	TGIF2	20	35202477
cg11450001	0.0115217309060483	GABARAPL1	12	10365596
cg11450827	0.766176046762112	CLDN5	22	19513006
cg11451801	0.0103270295369717	PSMB10	16	67970768
cg11452221	0.0559974878087367	GEFT	12	58004830
cg11452360	0.03276112967127	NA	NA	0
cg11453347	0.0195326055431027	UROS;BCCIP	10	127512288
cg11454415	0.0198058900239772	TOMM34	20	43588633
cg11455040	0.0140187975790813	SLC45A3	1	205649941
cg11456838	0.675015821554149	OSTCL	6	159278754
cg11458642	0.0101708882344204	ATR	3	142297295
cg11458974	0.894568356330591	HMOX1	22	35776686
cg11459714	0.0383809424860456	KLK10	19	51520658
cg11459822	0.0168132363351371	NA	NA	0
cg11460029	0.0264347685733434	EFNB3	17	7608747
cg11460364	0.199562976846143	DPP4	2	162931397
cg11462533	0.0980382646745906	HPCAL4	1	40156840
cg11462865	0.0147782746621146	KRT19	17	39684124
cg11465163	NA	DIRAS3	1	68516093
cg11465372	0.906167245293601	KRT76	12	53171191
cg11465971	0.0134698371031894	NA	NA	0
cg11466485	NA	SARDH	9	136605868
cg11466837	0.66776971739069	TRIM29	11	120009682
cg11466908	0.01597818597877	AUH	9	94123704
cg11467738	0.0223842846870637	ARPC1B	7	98972733
cg11468462	0.0129939628511893	NXPH4	12	57610686
cg11468711	0.0104498089657399	ZNF710	15	90545745
cg11469137	NA	PLOD1	1	11994385
cg11469321	NA	BDH2	4	104021294
cg11469778	0.896244078260553	ARHGEF4	2	131674201
cg11471401	0.131171046074472	KRT6A	12	52888480
cg11471666	0.0113744188982464	EIF4B	12	53400335
cg11472424	0.729266285400373	PFKFB1	X	55020450
cg11473104	0.423834862773992	NUDT15	13	48611615
cg11474075	0.0149945049214906	TTC5	14	20773935
cg11474811	0.900895216358491	TRPM5	11	2443869
cg11475332	0.00901842099820983	SDC1	2	20425343
cg11476211	0.00830555589489741	PRKCE	2	45879284
cg11476254	0.962185889727241	ACSF3	16	89159666
cg11479591	0.129627536769072	MECP2	X	153362176
cg11479877	NA	B3GALT5	21	41029500
cg11480873	0.0164832101136767	RAB7L1	1	205744417
cg11481351	0.858214622729971	FNDC7	1	109265387
cg11481490	0.0463143666046203	C19orf54;SNRPA	19	41256723
cg11481720	0.0561031954048628	ZNF791;ZNF490	19	12721423
cg11481793	0.126753512101661	ZNF362	1	33722720
cg11483915	0.0304618644451967	SLC40A1	2	190446080
cg11484288	0.00897797221252799	NA	NA	0
cg11484576	0.60361497177915	LGALS12	11	63272554
cg11484872	0.272058739444432	TNF	6	31543169
cg11485602	0.0157461118893614	PDHB	3	58419482
cg11487705	0.0133118513530044	OXCT1	5	41870746
cg11487967	NA		2	242968692
cg11489580	0.029602710730923	G3BP2	4	76598793
cg11490446	0.0385497167703411	PSEN1	14	73602923
cg11492040	0.350940596078077	H19	11	2016513
cg11492403	0.594234778053583	RUNDC1;AARSD1	17	41131552
cg11492856	NA	DVWA;CAPN7	3	15246587
cg11494656	0.918422011102447	ARR3	X	69487197
cg11494699	0.956649565615759	RAG1	11	36588217
cg11498156	0.248911880594173	TLX1;TLX1NB	10	102890145
cg11498188	0.0336085440329105	HECA	6	139456038
cg11498740	0.0141759236989267	MOAP1;C14orf109	14	93650664
cg11500727	0.102586011794966	CNFN	19	42894425
cg11500797	0.266201445529272	DLX5	7	96652123
cg11502800	0.0389857809202108	ZNF146;ZNF565	19	36705772
cg11503011	0.109117655159202	NA	NA	0
cg11503744	0.0255094822634228	RUSC1;C1orf104	1	155294042
cg11504646	0.900123471014259	RTP1	3	186913950
cg11504739	NA	SCGB1A1	11	62186060
cg11504740	0.284340453104645	GPR152	11	67220043
cg11504897	0.22445596774103	NRN1	6	6007412
cg11505048	0.867810315132349	RGL1;APOBEC4	1	183622726
cg11505080	0.259118084193892	NA	NA	0
cg11505565	NA	TUBD1;RPS6KB1	17	57969198
cg11507178	0.0574684491195497	BCL9L	11	118781515
cg11510269	0.0147574550566551	RSRC2;KNTC1	12	123011761
cg11510839	0.0146576298828093	OCA2	15	28344488
cg11511443	0.82601527623126	LMO3	12	16761406
cg11512771	0.982611968038252	ECM1;TARS2	1	150479487
cg11513856	0.0937168911764621	RABL5	7	100965680
cg11516377	0.021879223005119	DPH1	17	1933153
cg11516606	0.0232047261361763	TDRD7	9	100175029
cg11518240	0.96879858453432	FKBP4	12	2902790
cg11519508	0.0227672917364076	NA	NA	0
cg11520395	NA	JMJD4;SNAP47	1	227924115
cg11521325	0.614413833551912	CCDC114	19	48808268
cg11521965	0.130974519395682	PTN	7	137028604
cg11523020	0.337766486489032	UPK3A	22	45681036
cg11524446	NA	C1orf94	1	34642184
cg11525285	0.159167036585631	VSX2	14	74706336
cg11526405	0.0270386449072563	SH3GLB2	9	131790894
cg11527279	0.0319907556836531	TTLL11	9	124854846
cg11528101	0.0334312212972326	MRPS24	7	43909044
cg11528666	0.0494758495111025	C4orf29;MFSD8	4	128886049
cg11529128	0.010099160014446	LHFPL5	6	35772890
cg11529250	NA	UPK3A	22	45680606
cg11530960	0.0394926083685661	DMRT2	9	1052239
cg11532513	0.967742408903471	LRTM1;CACNA2D3	3	54962242
cg11536940	0.707896844045577	PGCP	8	97658076
cg11538128	0.0187373096125343	ZNF354C	5	178487481
cg11539173	0.0105808275317149	GNB1L;C22orf29	22	19843009
cg11540692	0.538050147600265	SIM1	6	100912072
cg11540997	0.679895336021658	DUOX2;DUOXA2	15	45407818
cg11541187	0.0276635204919326	C6orf182;SESN1	6	109415607
cg11542231	0.0273549041135047	RPA2	1	28241192
cg11546621	0.584674369394775	PTGDS	9	139872161
cg11547724	0.864888079160624	HPX	11	6462452
cg11550426	0.0463167904041842	SDCBP	8	59465609
cg11552293	0.246267884551205	COL4A5;COL4A6	X	107682539
cg11553177	0.0132002411915602	SUPT6H;SDF2	17	26988816
cg11554507	0.534086127086274	NEUROD6	7	31380572
cg11554605	0.962913351718929	ASB4	7	95115354
cg11554937	0.962235054700173	HSD17B3	9	99064321
cg11558474	0.101681297501928	TMEM2	9	74382743
cg11560403	0.967913499971435	TMEM81	1	205053460
cg11560645	0.530047091834009	NA	NA	0
cg11563860	0.164120586120956	CNTN4	3	2141937
cg11564268	NA	NOB1	16	69789107
cg11564670	0.777300397611217	MC2R	18	13915006
cg11565248	0.208979452675182	RPS6KA3	X	20284128
cg11566199	0.952317704464838	GALNT6	12	51773594
cg11566244	0.0652913904461673	GSTP1	11	67351786
cg11566939	0.0313144073035259	DULLARD;C17orf81	17	7155231
cg11572744	0.0219959470288148	DPYSL3	5	146832933
cg11574612	0.0193404367523315	CYP39A1;SLC25A27	6	46620502
cg11574758	0.0113115211012964	PLK1S1	20	21107113
cg11577097	0.127787877692053	AQP9	15	58430682
